NZ_CP028933.1 Campylobacter jejuni strain FORC_083 chromosome, complete genome 
NZ_CP037746.1 Campylobacter volucris strain 2014D-0083 chromosome, complete genome 
NZ_CP037747.1 Campylobacter helveticus strain 2013D-9613 chromosome, complete genome 
NZ_CP012542.1 Campylobacter mucosalis CCUG 21559 chromosome, complete genome 
NZ_CP012543.1 Campylobacter rectus strain ATCC 33238 chromosome, complete genome 
NZ_CP012544.1 Campylobacter showae strain ATCC 51146 chromosome, complete genome 
NZ_CP012545.1 Campylobacter sp. RM6914 chromosome, complete genome 
NZ_CP012552.1 Campylobacter sp. RM16192 chromosome, complete genome 
NZ_CP032522.1 Campylobacter jejuni strain BC chromosome, complete genome 
NZ_CP040239.1 Campylobacter coli strain S9 chromosome, complete genome 
NZ_CP040464.1 Campylobacter hyointestinalis subsp. hyointestinalis strain S12 chromosome, complete genome 
NZ_CP041584.1 Campylobacter jejuni strain YH003 chromosome, complete genome 
NZ_CP042162.1 Campylobacter fetus subsp. fetus strain INIA/17144 chromosome, complete genome 
NZ_CP043427.1 Campylobacter sputorum biovar sputorum strain LMG 7795 chromosome, complete genome 
NZ_CP043426.1 Campylobacter lari subsp. concheus strain LMG 21009 chromosome, complete genome 
NZ_CP043428.1 Campylobacter volucris strain LMG 24380 chromosome, complete genome 
NZ_CP043435.1 Campylobacter fetus subsp. venerealis NCTC 10354 chromosome, complete genome 
NZ_CP043763.1 Campylobacter jejuni strain BfR-CA-14430 chromosome, complete genome 
NZ_CP044161.1 Campylobacter coli strain AR-0420 chromosome, complete genome 
NZ_CP044162.1 Campylobacter jejuni strain AR-0419 chromosome, complete genome 
NZ_CP044167.1 Campylobacter jejuni strain AR-0415 chromosome, complete genome 
NZ_CP044169.1 Campylobacter jejuni strain AR-0414 chromosome, complete genome 
NZ_CP044171.1 Campylobacter jejuni strain AR-0413 chromosome, complete genome 
NZ_CP044175.1 Campylobacter coli strain AR-0411 chromosome, complete genome 
NZ_CP044262.1 Campylobacter armoricus strain CA639 chromosome, complete genome 
NZ_CP042462.1 Campylobacter coli strain 18-84 chromosome 
NZ_CP042463.1 Campylobacter coli strain 18-75 chromosome 
NZ_CP045048.1 Campylobacter jejuni subsp. jejuni strain NADC 20827 chromosome, complete genome 
NZ_CP045789.1 Campylobacter jejuni strain CFSAN032806 chromosome, complete genome 
NZ_CP045791.1 Campylobacter coli strain CFSAN032805 chromosome, complete genome 
NZ_CP046317.1 Campylobacter coli strain FDAARGOS_735 chromosome, complete genome 
NZ_CP035891.1 Campylobacter jejuni strain 15AR1555 chromosome 
NZ_CP035892.1 Campylobacter jejuni strain 15AR0984 chromosome 
NZ_CP035894.1 Campylobacter jejuni strain 15AR0919 chromosome 
NZ_CP035895.1 Campylobacter jejuni strain 15AR0917 chromosome 
NZ_CP038868.1 Campylobacter coli strain 16SHKX65C chromosome, complete genome 
NZ_CP046243.1 Campylobacter lari strain SCHS02 chromosome, complete genome 
NZ_CP010481.1 Campylobacter jejuni strain CJ677CC016 chromosome, complete genome 
NZ_CP010482.1 Campylobacter jejuni strain CJ677CC041 chromosome, complete genome 
NZ_CP010483.1 Campylobacter jejuni strain CJ677CC535 chromosome, complete genome 
NZ_CP010488.1 Campylobacter jejuni strain CJ677CC092 chromosome, complete genome 
NZ_CP010489.1 Campylobacter jejuni strain CJ677CC530 chromosome, complete genome 
NZ_CP010490.1 Campylobacter jejuni strain CJ677CC532 chromosome, complete genome 
NZ_CP010491.1 Campylobacter jejuni strain CJ677CC529 chromosome, complete genome 
NZ_CP010492.1 Campylobacter jejuni strain CJ677CC531 chromosome, complete genome 
NZ_CP010493.1 Campylobacter jejuni strain CJ677CC062 chromosome, complete genome 
NZ_CP010494.1 Campylobacter jejuni strain CJ677CC059 chromosome, complete genome 
NZ_CP010496.1 Campylobacter jejuni strain CJ677CC032 chromosome, complete genome 
NZ_CP010497.1 Campylobacter jejuni strain CJ677CC033 chromosome, complete genome 
NZ_CP010498.1 Campylobacter jejuni strain CJ677CC537 chromosome, complete genome 
NZ_CP010499.1 Campylobacter jejuni strain CJ677CC542 chromosome, complete genome 
NZ_CP010500.1 Campylobacter jejuni strain CJ677CC528 chromosome, complete genome 
NZ_CP010495.1 Campylobacter jejuni strain CJ677CC538 chromosome, complete genome 
NZ_CP010501.1 Campylobacter jejuni strain CJ677CC520 chromosome, complete genome 
NZ_CP010502.1 Campylobacter jejuni strain CJ677CC014 chromosome, complete genome 
NZ_CP010503.1 Campylobacter jejuni strain CJ677CC039 chromosome, complete genome 
NZ_CP010504.1 Campylobacter jejuni strain CJ677CC085 chromosome, complete genome 
